アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,平均速度,最高速度,総上昇量,総下降量,Training Stress Score®,減圧,ベストラップタイム,ラップ数,移動時間,経過時間,最低高度,最高高度
バイク,2025-07-01 15:26:49,false,"多摩区 バイク","18.81","324","00:49:41","119","137","22.7","43.3","118","121","0.0","いいえ","00:02:13.0","19","00:48:20","01:11:24","4","67"
HIIT,2025-07-01 12:57:32,false,"HIIT - カスタム","0.00","270","01:09:53","99","119","--","--","--","--","0.0","いいえ","00:00:08.6","43","00:00:00","01:09:53","--","--"
バイク,2025-06-30 14:34:37,false,"多摩区 バイク","18.84","369","00:52:47","123","145","21.4","40.7","121","124","0.0","いいえ","00:02:17.3","19","00:51:13","01:35:12","4","67"
バイク,2025-06-29 14:18:38,false,"多摩区 バイク","18.73","329","00:51:31","121","142","21.8","37.4","112","88","0.0","いいえ","00:02:11.8","18","00:47:46","01:44:54","4","67"
バイク,2025-06-28 14:01:20,false,"多摩区 バイク","28.69","491","01:13:49","122","142","23.3","41.3","140","138","0.0","いいえ","00:00:01.4","31","01:12:42","01:52:30","-5","67"
バイク,2025-06-27 15:25:33,false,"多摩区 バイク","21.34","347","00:57:45","117","132","22.2","41.7","91","92","0.0","いいえ","00:01:15.5","22","00:56:38","01:22:54","2","67"
HIIT,2025-06-27 12:14:29,false,"HIIT - カスタム","0.00","280","01:10:29","102","131","--","--","--","--","0.0","いいえ","00:00:12.3","57","00:00:00","01:10:29","--","--"
バイク,2025-06-26 15:30:46,false,"多摩区 バイク","21.41","354","00:57:34","118","135","22.3","41.0","138","141","0.0","いいえ","00:01:35.0","22","00:56:33","01:18:36","3","67"
HIIT,2025-06-26 12:43:41,false,"HIIT - カスタム","0.00","351","01:13:43","109","141","--","--","--","--","0.0","いいえ","00:00:45.0","47","00:00:00","01:13:43","--","--"
バイク,2025-06-24 15:47:18,false,"多摩区 バイク","18.79","278","00:51:37","111","124","21.8","40.4","112","115","0.0","いいえ","00:02:21.2","19","00:50:10","01:16:17","4","67"
HIIT,2025-06-24 12:59:11,false,"HIIT - カスタム","0.00","229","01:04:58","94","122","--","--","--","--","0.0","いいえ","00:00:01.5","43","00:00:00","01:04:58","--","--"
HIIT,2025-06-23 10:48:14,false,"HIIT - カスタム","0.00","250","01:07:51","97","116","--","--","--","--","0.0","いいえ","00:00:33.8","52","00:00:00","01:07:51","--","--"
バイク,2025-06-22 10:42:44,false,"多摩区 バイク","21.42","393","01:01:44","119","139","20.8","37.9","109","108","0.0","いいえ","00:01:54.6","22","01:00:22","01:52:22","1","67"
バイク,2025-06-21 15:56:19,false,"多摩区 バイク","18.76","289","00:53:25","111","144","21.1","42.2","140","140","0.0","いいえ","00:02:22.5","19","00:52:10","01:15:34","5","67"
HIIT,2025-06-21 12:11:01,false,"HIIT - カスタム","0.00","325","01:07:19","108","140","--","--","--","--","0.0","いいえ","00:00:22.1","35","00:00:00","01:10:52","--","--"
HIIT,2025-06-20 18:29:58,false,"HIIT - カスタム","0.00","229","00:59:50","96","130","--","--","--","--","0.0","いいえ","00:00:53.4","35","00:00:00","00:59:50","--","--"
バイク,2025-06-19 12:46:32,false,"多摩区 バイク","18.83","365","00:55:43","120","144","20.3","35.5","120","119","0.0","いいえ","00:02:20.9","19","00:54:32","01:41:55","4","67"
バイク,2025-06-18 15:44:12,false,"多摩区 バイク","18.81","360","00:53:09","122","139","21.2","39.8","105","103","0.0","いいえ","00:02:08.8","19","00:51:40","01:20:03","4","67"
HIIT,2025-06-18 12:38:41,false,"HIIT - カスタム","0.00","239","01:03:59","98","129","--","--","--","--","0.0","いいえ","00:00:22.8","52","00:00:00","01:03:59","--","--"
バイク,2025-06-17 13:08:39,false,"多摩区 バイク","25.48","590","01:13:06","132","151","20.9","38.9","85","86","0.0","いいえ","00:02:04.6","26","01:11:50","02:12:59","16","67"
バイク,2025-06-16 14:37:58,false,"多摩区 バイク","28.72","489","01:15:47","121","137","22.7","44.6","129","127","0.0","いいえ","00:02:14.0","29","01:14:56","01:43:03","-6","67"
バイク,2025-06-13 15:32:37,false,"多摩区 バイク","18.46","338","00:51:04","120","138","21.7","41.2","107","108","0.0","いいえ","00:01:49.6","19","00:49:42","01:17:29","16","67"
HIIT,2025-06-13 11:17:05,false,"HIIT - カスタム","0.00","411","01:44:03","97","128","--","--","--","--","0.0","いいえ","00:01:00","3","00:00:00","01:44:07","--","--"
バイク,2025-06-12 15:27:45,false,"多摩区 バイク","21.38","373","00:56:42","121","139","22.6","41.4","92","96","0.0","いいえ","00:01:22.7","22","00:55:38","01:15:39","1","67"
HIIT,2025-06-12 12:10:11,false,"HIIT - カスタム","0.00","285","01:06:04","104","123","--","--","--","--","0.0","いいえ","00:00:12.1","41","00:00:00","01:06:04","--","--"
HIIT,2025-06-11 13:16:07,false,"HIIT - カスタム","0.00","282","01:02:17","107","130","--","--","--","--","0.0","いいえ","00:00:34.4","52","00:00:00","01:02:17","--","--"
バイク,2025-06-09 15:05:57,false,"多摩区 バイク","18.80","335","00:52:36","118","136","21.4","37.0","86","86","0.0","いいえ","00:02:19.2","19","00:51:35","01:12:40","4","67"
HIIT,2025-06-09 11:41:18,false,"HIIT - カスタム","0.00","279","01:05:41","104","136","--","--","--","--","0.0","いいえ","00:00:36.0","49","00:00:00","01:05:41","--","--"
バイク,2025-06-08 15:03:22,false,"多摩区 バイク","18.53","351","00:51:26","122","147","21.6","43.0","112","111","0.0","いいえ","00:02:08.0","19","00:50:18","01:13:19","16","67"
HIIT,2025-06-08 12:10:36,false,"HIIT - カスタム","0.00","278","01:03:54","103","140","--","--","--","--","0.0","いいえ","00:00:49.6","41","00:00:00","01:03:54","--","--"
バイク,2025-06-07 13:27:55,false,"多摩区 バイク","25.48","497","01:10:32","125","144","21.7","41.6","102","106","0.0","いいえ","00:01:52.0","26","01:09:20","02:11:00","16","67"
バイク,2025-06-06 15:45:40,false,"多摩区 バイク","18.72","372","00:50:40","126","142","22.2","40.0","92","92","0.0","いいえ","00:02:15.4","19","00:49:43","01:09:17","4","67"
HIIT,2025-06-06 12:48:05,false,"HIIT - カスタム","0.00","283","01:06:14","105","124","--","--","--","--","0.0","いいえ","00:00:34.6","54","00:00:00","01:06:14","--","--"
バイク,2025-06-05 15:34:25,false,"多摩区 バイク","18.79","404","00:50:35","129","148","22.3","40.4","79","77","0.0","いいえ","00:02:17.7","19","00:49:54","01:09:54","4","67"
HIIT,2025-06-05 12:16:13,false,"HIIT - カスタム","0.00","372","01:09:55","113","148","--","--","--","--","0.0","いいえ","00:00:37.8","53","00:00:00","01:09:55","--","--"
バイク,2025-06-04 14:01:34,false,"多摩区 バイク","28.68","609","01:12:07","135","152","23.9","39.8","130","130","0.0","いいえ","00:02:09.0","29","01:11:02","01:43:21","-6","67"
HIIT,2025-06-03 15:17:38,false,"HIIT - カスタム","0.00","303","01:07:39","105","128","--","--","--","--","0.0","いいえ","00:00:01.7","43","00:00:00","01:07:39","--","--"
バイク,2025-06-02 15:18:58,false,"多摩区 バイク","18.78","372","00:56:53","121","135","19.8","40.4","106","110","0.0","いいえ","00:02:36.7","19","00:55:33","01:14:19","4","67"
HIIT,2025-06-02 12:15:34,false,"HIIT - カスタム","0.00","317","01:08:56","107","136","--","--","--","--","0.0","いいえ","00:00:35.5","53","00:00:00","01:08:56","--","--"
HIIT,2025-05-31 16:10:47,false,"HIIT - カスタム","0.00","376","01:10:56","113","138","--","--","--","--","0.0","いいえ","00:00:20.8","49","00:00:00","01:10:56","--","--"
HIIT,2025-05-30 12:39:51,false,"HIIT - カスタム","0.00","282","01:06:54","102","127","--","--","--","--","0.0","いいえ","00:00:44.8","45","00:00:00","01:06:54","--","--"
バイク,2025-05-29 16:18:14,false,"多摩区 バイク","18.87","355","00:58:13","120","135","19.4","40.9","82","81","0.0","いいえ","00:02:29.1","19","00:56:51","01:37:30","4","67"
バイク,2025-05-28 15:35:39,false,"多摩区 バイク","28.55","496","01:22:42","119","136","20.7","35.2","129","125","0.0","いいえ","00:02:13.9","29","01:21:10","01:47:58","-5","67"
バイク,2025-05-27 15:19:45,false,"多摩区 バイク","18.76","322","00:53:59","115","131","20.9","38.5","102","101","0.0","いいえ","00:02:17.9","19","00:52:48","01:11:25","4","67"
HIIT,2025-05-27 12:14:10,false,"HIIT - カスタム","0.00","307","01:11:56","105","129","--","--","--","--","0.0","いいえ","00:00:35.6","54","00:00:00","01:13:22","--","--"
HIIT,2025-05-26 19:17:46,false,"HIIT - カスタム","0.00","360","01:09:38","113","136","--","--","--","--","0.0","いいえ","00:00:31.4","53","00:00:00","01:09:38","--","--"
バイク,2025-05-26 10:32:51,false,"多摩区 バイク","18.38","346","00:57:37","116","146","19.1","34.3","139","140","0.0","いいえ","00:01:34.1","19","00:55:42","01:49:58","4","67"
バイク,2025-05-24 10:47:50,false,"多摩区 バイク","18.52","332","00:56:37","115","136","19.6","36.3","64","69","0.0","いいえ","00:02:16.7","19","00:55:20","01:41:44","16","67"
バイク,2025-05-23 15:38:38,false,"多摩区 バイク","18.76","327","00:56:50","115","128","19.8","38.4","97","97","0.0","いいえ","00:02:25.1","19","00:55:38","01:13:59","4","67"
HIIT,2025-05-23 12:21:10,false,"HIIT - カスタム","0.00","279","01:12:15","99","122","--","--","--","--","0.0","いいえ","00:00:17.4","45","00:00:00","01:12:15","--","--"
バイク,2025-05-21 15:44:38,false,"多摩区 バイク","18.77","379","00:57:49","121","135","19.5","41.7","138","136","0.0","いいえ","00:02:36.2","19","00:56:37","01:16:59","5","67"
HIIT,2025-05-21 12:05:56,false,"HIIT - カスタム","0.00","316","01:12:27","106","128","--","--","--","--","0.0","いいえ","00:00:37.2","53","00:00:00","01:12:27","--","--"
バイク,2025-05-20 15:52:11,false,"多摩区 バイク","18.73","383","00:57:51","121","141","19.4","38.4","124","123","0.0","いいえ","00:02:36.7","19","00:56:44","01:22:01","5","67"
HIIT,2025-05-20 13:23:52,false,"HIIT - カスタム","0.00","393","01:10:10","114","148","--","--","--","--","0.0","いいえ","00:00:48.9","43","00:00:00","01:10:10","--","--"
バイク,2025-05-18 10:43:40,false,"多摩区 バイク","28.72","525","01:18:56","124","141","21.8","36.7","175","174","0.0","いいえ","00:02:18.9","29","01:17:30","02:16:21","-7","67"
HIIT,2025-05-17 12:29:15,false,"HIIT - カスタム","0.00","294","01:13:54","100","121","--","--","--","--","0.0","いいえ","00:01:00","41","00:00:00","01:13:54","--","--"
バイク,2025-05-16 15:30:10,false,"多摩区 バイク","18.80","354","00:48:31","125","147","23.2","41.4","66","66","0.0","いいえ","00:02:02.4","19","00:47:39","01:07:35","4","67"
HIIT,2025-05-16 12:36:43,false,"HIIT - カスタム","0.00","284","01:07:19","104","134","--","--","--","--","0.0","いいえ","00:00:02.7","55","00:00:00","01:07:19","--","--"
バイク,2025-05-15 13:45:29,false,"多摩区 バイク","29.26","528","01:18:40","123","149","22.3","38.8","150","149","0.0","いいえ","00:00:54.8","30","01:17:08","02:17:39","-7","67"
バイク,2025-05-14 15:21:37,false,"多摩区 バイク","18.70","392","00:49:57","129","144","22.5","42.5","127","126","0.0","いいえ","00:02:14.6","19","00:48:40","01:09:30","4","67"
HIIT,2025-05-14 12:17:12,false,"HIIT - カスタム","0.00","406","01:14:21","115","152","--","--","--","--","0.0","いいえ","00:00:42.6","53","00:00:00","01:14:21","--","--"
バイク,2025-05-12 15:47:51,false,"多摩区 バイク","20.03","12","00:59:05","97","103","20.3","35.7","--","27","0.0","いいえ","00:02:34.8","1","00:02:33","00:02:50.8","38","66"
HIIT,2025-05-12 11:32:12,false,"HIIT - カスタム","0.00","373","01:42:53","93","118","--","--","--","--","0.0","いいえ","00:01:00","3","00:00:00","01:42:53","--","--"
バイク,2025-05-11 13:07:46,false,"多摩区 バイク","19.07","377","00:55:37","121","146","20.6","36.5","117","118","0.0","いいえ","00:00:16.5","20","00:53:14","01:57:30","7","67"
バイク,2025-05-10 15:00:40,false,"多摩区 バイク","25.55","530","01:11:36","127","146","21.4","39.8","100","98","0.0","いいえ","00:02:07.4","26","01:10:39","02:16:22","16","67"
バイク,2025-05-09 15:05:06,false,"多摩区 バイク","28.75","558","01:11:35","129","149","24.1","41.4","169","170","0.0","いいえ","00:02:04.4","29","01:10:55","01:37:24","-6","67"
バイク,2025-05-08 15:49:36,false,"多摩区 バイク","18.81","372","00:50:10","125","144","22.5","38.0","98","102","0.0","いいえ","00:02:03.7","19","00:48:54","01:11:25","4","67"
HIIT,2025-05-08 12:15:40,false,"HIIT - カスタム","0.00","320","01:12:35","106","126","--","--","--","--","0.0","いいえ","00:00:31.6","54","00:00:00","01:12:35","--","--"
バイク,2025-05-07 14:04:48,false,"多摩区 バイク","25.44","471","01:07:38","124","144","22.6","40.2","171","170","0.0","いいえ","00:01:34.0","26","01:06:52","01:37:38","16","67"
HIIT,2025-05-06 12:25:04,false,"HIIT - カスタム","0.00","358","01:06:56","113","143","--","--","--","--","0.0","いいえ","00:00:32.6","52","00:00:00","01:06:59","--","--"
バイク,2025-05-05 15:51:19,false,"多摩区 バイク","18.75","361","00:50:17","124","142","22.4","44.5","116","115","0.0","いいえ","00:01:57.4","19","00:49:10","01:14:16","4","67"
HIIT,2025-05-05 12:30:42,false,"HIIT - カスタム","0.00","372","01:19:16","108","133","--","--","--","--","0.0","いいえ","00:00:21.6","52","00:00:00","01:19:16","--","--"
バイク,2025-05-04 10:48:11,false,"多摩区 バイク","28.72","532","01:19:32","122","137","21.7","40.7","146","145","0.0","いいえ","00:02:17.1","29","01:17:52","02:22:29","-6","67"
バイク,2025-05-03 15:25:04,false,"多摩区 バイク","18.59","365","00:50:06","125","144","22.3","44.2","71","76","0.0","いいえ","00:02:09.2","19","00:49:12","01:17:50","16","68"
HIIT,2025-05-03 12:02:34,false,"HIIT - カスタム","0.00","302","01:07:23","106","128","--","--","--","--","0.0","いいえ","00:00:27.1","52","00:00:00","01:07:23","--","--"
HIIT,2025-05-02 12:47:04,false,"HIIT - カスタム","0.00","338","01:11:03","108","135","--","--","--","--","0.0","いいえ","00:00:09.1","54","00:00:00","01:11:03","--","--"
HIIT,2025-04-30 15:48:41,false,"HIIT - カスタム","0.00","359","01:18:44","107","132","--","--","--","--","0.0","いいえ","00:00:23.4","52","00:00:00","01:18:44","--","--"
バイク,2025-04-30 12:28:04,false,"多摩区 バイク","18.79","386","00:49:32","128","147","22.8","45.0","144","142","0.0","いいえ","00:01:59.0","19","00:48:43","01:04:04","4","67"
バイク,2025-04-29 10:45:14,false,"多摩区 バイク","27.12","480","01:22:49","119","136","19.6","34.4","107","111","0.0","いいえ","00:00:37.5","28","01:21:35","02:31:05","-2","67"
HIIT,2025-04-28 16:34:10,false,"HIIT - カスタム","0.00","321","01:10:52","107","131","--","--","--","--","0.0","いいえ","00:00:06.2","58","00:00:00","01:10:52","--","--"
